source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,11
0,13
0,14
0,17
0,18
0,19
0,23
0,24
0,26
0,29
0,32
0,34
0,36
0,39
0,40
0,41
0,46
0,56
0,57
0,60
0,61
0,62
0,66
0,70
0,73
0,75
0,79
0,80
0,84
0,93
0,96
0,98
0,102
0,103
1,7
1,10
1,12
1,16
1,48
1,52
1,61
1,68
1,86
1,103
1,104
2,6
2,7
2,8
2,9
2,16
2,29
2,48
2,93
3,6
3,8
3,10
3,13
3,14
3,16
3,23
3,39
3,40
3,46
3,53
3,59
3,72
3,75
3,83
3,86
4,6
4,7
4,12
4,18
4,23
4,50
4,69
4,89
4,92
4,98
5,6
5,15
5,18
5,32
5,57
5,64
5,65
5,67
5,77
5,90
5,92
5,94
5,95
6,7
6,8
6,9
6,10
6,11
6,12
6,19
6,25
6,26
6,38
6,42
6,44
6,47
6,74
6,79
6,86
6,88
7,8
7,9
7,10
7,11
7,12
7,13
7,15
7,17
7,20
7,24
7,27
7,28
7,31
7,32
7,33
7,34
7,35
7,37
7,41
7,42
7,46
7,47
7,53
7,54
7,59
7,61
7,64
7,68
7,69
7,83
7,84
7,89
7,91
7,94
7,95
7,99
7,101
8,9
8,10
8,11
8,13
8,14
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,27
8,31
8,34
8,41
8,42
8,43
8,44
8,48
8,50
8,51
8,57
8,62
8,75
8,78
8,79
8,81
8,84
8,86
8,92
8,98
9,12
9,13
9,14
9,15
9,16
9,17
9,19
9,21
9,22
9,30
9,32
9,33
9,35
9,36
9,37
9,39
9,40
9,43
9,45
9,50
9,52
9,54
9,56
9,60
9,62
9,65
9,66
9,68
9,75
9,76
9,85
9,87
9,95
9,97
10,11
10,14
10,17
10,18
10,22
10,26
10,33
10,34
10,35
10,49
10,59
10,60
10,64
10,74
10,79
10,102
11,16
11,19
11,20
11,21
11,25
11,27
11,30
11,31
11,35
11,44
11,58
11,59
11,60
11,61
11,77
11,78
11,98
12,15
12,28
12,31
12,38
12,42
12,47
12,66
12,77
12,80
12,83
13,15
13,28
13,55
13,73
13,81
13,101
13,103
14,25
14,45
14,49
14,55
15,22
15,24
15,36
15,39
15,43
15,48
15,55
15,58
15,70
15,71
15,74
15,75
15,81
15,87
15,103
16,17
16,20
16,25
16,29
16,39
16,40
16,41
16,44
16,45
16,47
16,71
16,83
16,91
16,93
16,95
17,20
17,23
17,26
17,29
17,30
17,35
17,38
17,49
17,51
17,62
17,77
17,100
18,21
18,25
18,27
18,36
18,37
18,41
18,63
18,65
18,67
18,70
18,85
18,87
19,21
19,22
19,24
19,26
19,27
19,28
19,29
19,38
19,53
19,56
19,58
19,64
19,88
19,92
19,95
19,96
20,33
20,37
20,40
20,58
20,71
20,74
20,82
21,32
21,42
21,49
21,76
21,83
21,93
22,104
23,33
24,28
24,30
24,88
24,102
25,45
25,48
25,54
25,55
25,56
25,60
25,63
25,72
26,36
26,46
26,50
26,52
26,54
26,61
26,67
26,72
26,76
26,80
26,84
26,97
26,102
26,104
27,50
27,51
27,86
27,87
27,88
28,46
28,51
29,30
29,34
29,43
29,55
29,85
30,31
30,38
30,47
30,73
30,81
30,101
31,63
31,76
31,92
32,37
32,43
32,53
32,71
33,72
33,89
33,90
34,44
35,65
35,69
35,70
35,100
36,80
36,101
38,45
38,89
38,91
38,99
40,67
40,87
40,90
41,80
41,85
42,68
42,78
43,54
43,103
44,57
44,94
45,49
45,52
45,64
45,89
45,90
45,98
46,82
46,101
47,53
47,62
47,82
48,52
48,76
49,51
49,56
49,68
49,94
49,96
51,57
51,65
51,66
53,59
54,58
56,67
56,73
56,100
58,63
58,104
59,91
60,69
60,78
61,70
61,71
61,79
61,102
62,63
62,66
64,78
66,72
67,69
68,82
68,99
69,73
69,74
70,90
72,88
72,99
73,84
73,97
73,100
74,81
74,91
75,77
76,85
77,96
78,97
78,100
79,93
80,97
81,82
81,104
85,94
87,96
91,99
